BL_ID,BL_Kuerzel,BL_Schluessel,BL_Name_DE,BL_Name_EN,BL_URI
1,SH,01,Schleswig-Holstein,Schleswig-Holstein,http://dcat-ap.de/def/politicalGeocoding/stateKey/01
2,HH,02,Hamburg,Hamburg,http://dcat-ap.de/def/politicalGeocoding/stateKey/02
3,NI,03,Niedersachsen,Lower Saxony,http://dcat-ap.de/def/politicalGeocoding/stateKey/03
4,HB,04,Bremen,Bremen,http://dcat-ap.de/def/politicalGeocoding/stateKey/04
5,NW,05,Nordrhein-Westfalen,North Rhine-Westphalia,http://dcat-ap.de/def/politicalGeocoding/stateKey/05
6,HE,06,Hessen,Hesse,http://dcat-ap.de/def/politicalGeocoding/stateKey/06
7,RP,07,Rheinland-Pfalz,Rhineland-Palatinate,http://dcat-ap.de/def/politicalGeocoding/stateKey/07
8,BW,08,Baden-Württemberg,Baden-Württemberg,http://dcat-ap.de/def/politicalGeocoding/stateKey/08
9,BY,09,Bayern,Bavaria,http://dcat-ap.de/def/politicalGeocoding/stateKey/09
10,SL,10,Saarland,Saarland,http://dcat-ap.de/def/politicalGeocoding/stateKey/10
11,BE,11,Berlin,Berlin,http://dcat-ap.de/def/politicalGeocoding/stateKey/11
12,BB,12,Brandenburg,Brandenburg,http://dcat-ap.de/def/politicalGeocoding/stateKey/12
13,MV,13,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,http://dcat-ap.de/def/politicalGeocoding/stateKey/13
14,SN,14,Sachsen,Saxony,http://dcat-ap.de/def/politicalGeocoding/stateKey/14
15,ST,15,Sachsen-Anhalt,Saxony-Anhalt,http://dcat-ap.de/def/politicalGeocoding/stateKey/15
16,TH,16,Thüringen,Thuringia,http://dcat-ap.de/def/politicalGeocoding/stateKey/16
