ReihenfolgeID,Name_DE,Abkürzung,HH-Plan,Name_EN 
1,Bundesministerium für Wirtschaft und Klimaschutz,BMWK,09,Federal Ministry for Economic Affairs and Climate Action
2,Bundesministerium der Finanzen,BMF,08,Federal Ministry of Finance
3,Bundesministerium des Innern und für Heimat,BMI,06,Federal Ministry of the Interior and Community
4,Auswärtiges Amt,AA,05,Federal Foreign Office
5,Bundesministerium der Justiz,BMJ,07,Federal Ministry of Justice 
6,Bundesministerium für Arbeit und Soziales,BMAS,11,Federal Ministry of Labour and Social Affairs
7,Bundesministerium der Verteidigung,BMVg,14,Federal Ministry of Defence
8,Bundesministerium für Ernährung und Landwirtschaft,BMEL,10,Federal Ministry of Food and Agriculture
9,"Bundesministerium für Familie, Senioren, Frauen und Jugend",BMFSFJ,17,"Federal Ministry of Family Affairs, Senior Citizens, Women and Youth"
10,Bundesministerium für Gesundheit,BMG,15,Federal Ministry of Health
11,Bundesministerium für Digitales und Verkehr,BMDV,12,Federal Ministry for Digital and Transport
12,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",BMUV,16,"Federal Ministry for the Environment, Nature Conservation, Nuclear Safety and Consumer Protection"
13,Bundesministerium für Bildung und Forschung,BMBF,30,Federal Ministry of Education and Research
14,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,BMZ,23,Federal Ministry for Economic Cooperation and Development
15,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen",BMWSB,25,"Federal Ministry for Housing, Urban Development and Building"
